pdf_page,column,raw_entry,entry,stage_bucket
134,right,behaviour (behavior)*,behaviour (behavior),required_new
134,right,behind,behind,compulsory_baseline
134,right,being**,being,selective_required_new
134,right,belief**,belief,selective_required_new
134,right,believe,believe,compulsory_baseline
134,right,bell,bell,compulsory_baseline
134,right,belong*,belong,required_new
134,right,below,below,compulsory_baseline
134,right,belt*,belt,required_new
134,right,bend**,bend,selective_required_new
134,right,beneath*,beneath,required_new
134,right,benefit*,benefit,required_new
134,right,beside,beside,compulsory_baseline
134,right,best,best,compulsory_baseline
134,right,bet**,bet,selective_required_new
134,right,better,better,compulsory_baseline
135,left,between,between,compulsory_baseline
135,left,beyond*,beyond,required_new
135,left,big,big,compulsory_baseline
135,left,bike (bicycle),bike (bicycle),compulsory_baseline
135,left,bill,bill,compulsory_baseline
135,left,billion**,billion,selective_required_new
135,left,biology**,biology,selective_required_new
135,left,bird,bird,compulsory_baseline
135,left,birth,birth,compulsory_baseline
135,left,birthday,birthday,compulsory_baseline
135,left,biscuit,biscuit,compulsory_baseline
135,left,bit,bit,compulsory_baseline
135,left,bite*,bite,required_new
135,left,bitter**,bitter,selective_required_new
135,left,black,black,compulsory_baseline
135,left,blackboard,blackboard,compulsory_baseline
135,left,blame**,blame,selective_required_new
135,left,blank**,blank,selective_required_new
135,left,blanket**,blanket,selective_required_new
135,left,bleed**,bleed,selective_required_new
135,left,bless**,bless,selective_required_new
135,left,blind,blind,compulsory_baseline
135,left,block,block,compulsory_baseline
135,left,blog*,blog,required_new
135,left,blood,blood,compulsory_baseline
135,left,blouse,blouse,compulsory_baseline
135,left,blow,blow,compulsory_baseline
135,left,blue,blue,compulsory_baseline
135,right,board,board,compulsory_baseline
135,right,boat,boat,compulsory_baseline
135,right,body,body,compulsory_baseline
135,right,boil**,boil,selective_required_new
135,right,bomb**,bomb,selective_required_new
135,right,bond**,bond,selective_required_new
135,right,bone*,bone,required_new
135,right,bonus**,bonus,selective_required_new
135,right,book,book,compulsory_baseline
135,right,boost**,boost,selective_required_new
135,right,boot*,boot,required_new
135,right,border**,border,selective_required_new
135,right,bored,bored,compulsory_baseline
135,right,boring,boring,compulsory_baseline
135,right,born,born,compulsory_baseline
135,right,borrow,borrow,compulsory_baseline
135,right,boss,boss,compulsory_baseline
135,right,botanical**,botanical,selective_required_new
135,right,both,both,compulsory_baseline
135,right,bother**,bother,selective_required_new
135,right,bottle,bottle,compulsory_baseline
135,right,bottom,bottom,compulsory_baseline
135,right,bounce**,bounce,selective_required_new
135,right,bound**,bound,selective_required_new
135,right,boundary**,boundary,selective_required_new
135,right,bow**,bow,selective_required_new
135,right,bowl,bowl,compulsory_baseline
135,right,bowling**,bowling,selective_required_new
136,left,box,box,compulsory_baseline
136,left,boxing*,boxing,required_new
136,left,boy,boy,compulsory_baseline
136,left,brain,brain,compulsory_baseline
136,left,branch*,branch,required_new
136,left,brave,brave,compulsory_baseline
136,left,bread,bread,compulsory_baseline
136,left,break,break,compulsory_baseline
136,left,breakfast,breakfast,compulsory_baseline
136,left,breast**,breast,selective_required_new
136,left,breath**,breath,selective_required_new
136,left,breathe*,breathe,required_new
136,left,brick**,brick,selective_required_new
136,left,bride / bridegroom**,bride / bridegroom,selective_required_new
136,left,bridge,bridge,compulsory_baseline
136,left,brief*,brief,required_new
136,left,bright,bright,compulsory_baseline
136,left,brilliant**,brilliant,selective_required_new
136,left,bring,bring,compulsory_baseline
136,left,Britain,Britain,compulsory_baseline
136,left,British,British,compulsory_baseline
136,left,broad*,broad,required_new
136,left,broadcast**,broadcast,selective_required_new
136,left,brochure*,brochure,required_new
136,left,brother,brother,compulsory_baseline
136,left,brown,brown,compulsory_baseline
136,left,brush,brush,compulsory_baseline
136,left,budget**,budget,selective_required_new
