pdf_page,cet_level,raw_family
31,CET-6,bass
31,CET-4,bat
31,CET-4,batch
31,CET-4,bath
31,CET-4,bathe
31,CET-4,bathroom
31,CET-4,battalion
31,CET-6,batter
31,CET-4,battery
31,CET-4,battle
31,CET-4,bay
31,CET-4,be
31,CET-4,beach
31,CET-6,bead
31,CET-6,beak
31,CET-4,beam
31,CET-4,bean
31,CET-4,bear
31,CET-4,beard
31,CET-4,bearing
31,CET-4,beast
31,CET-4,beat
31,CET-4,beauty beautiful beautify
31,CET-4,because
31,CET-6,beckon
31,CET-4,become
31,CET-4,bed bedding
31,CET-4,bee
32,CET-4,beef
32,CET-4,beer
32,CET-6,beetle
32,CET-4,before
32,CET-4,beforehand
32,CET-4,beg beggar
32,CET-4,begin beginning
32,CET-4,behalf
32,CET-4,behave behavio(u)r behavio(u)ral
32,CET-4,behind
32,CET-4,being
32,CET-4,belief
32,CET-4,believe
32,CET-4,bell
32,CET-4,belly
32,CET-4,belong belongings
32,CET-4,beloved
32,CET-4,below
32,CET-4,belt
32,CET-4,bench
32,CET-4,bend
32,CET-4,beneath
32,CET-4,benefit beneficial beneficiary
32,CET-6,benevolent benevolence
32,CET-6,benign
32,CET-4,berry
32,CET-6,beset
32,CET-4,beside
32,CET-4,besides
32,CET-6,besiege
32,CET-4,best
32,CET-4,bestＧseller bestＧselling
32,CET-4,bet
32,CET-4,betray betrayal
32,CET-4,better
32,CET-4,between
32,CET-4,beverage
32,CET-6,beware
32,CET-6,bewilder bewilderment
32,CET-4,beyond
32,CET-4,bias
32,CET-4,Bible Biblical/biblical
33,CET-6,bibliography
33,CET-4,bicycle/bike
33,CET-4,bid
33,CET-4,big
33,CET-6,bilateral
33,CET-4,bill
33,CET-4,billion billionaire
33,CET-4,bin
33,CET-4,bind
33,CET-6,binoculars
33,CET-4,biochemistry biochemical biochemist
33,CET-4,biography biographical biographer
33,CET-4,biology biological biologist
33,CET-4,biotechnology
33,CET-4,bird
33,CET-4,birth
33,CET-4,birthday
33,CET-4,biscuit
33,CET-6,bishop
33,CET-4,bit
33,CET-4,bitch
33,CET-4,bite
33,CET-4,bitter
33,CET-6,bizarre
33,CET-4,black
33,CET-4,blackboard
33,CET-6,blackmail
33,CET-4,blade
33,CET-4,blame
33,CET-4,blank
33,CET-4,blanket
33,CET-4,blast
33,CET-6,blaze
33,CET-6,bleach
33,CET-6,bleak
33,CET-4,bleed
33,CET-4,blend
33,CET-4,bless blessing
33,CET-4,blind
33,CET-6,blink
33,CET-6,bloc
33,CET-4,block
34,CET-4,blog
34,CET-4,blond(e)
34,CET-4,blood bloody
34,CET-4,bloom
34,CET-4,blossom
34,CET-4,blouse
34,CET-4,blow
34,CET-4,blue
34,CET-4,blueprint
34,CET-6,bluff
34,CET-6,blunder
34,CET-6,blunt
34,CET-4,blur
34,CET-6,blush
34,CET-4,board
34,CET-4,boast boastful
34,CET-4,boat
34,CET-4,body bodily
34,CET-4,boil boiler
34,CET-4,bold
34,CET-6,bolster
34,CET-4,bolt
34,CET-4,bomb
34,CET-4,bond bondage
34,CET-4,bone bony
34,CET-4,bonus
34,CET-4,book
34,CET-4,boom
34,CET-4,boost
34,CET-4,boot
34,CET-4,booth
34,CET-4,border
34,CET-4,bore１
34,CET-4,bore２
34,CET-4,born
34,CET-4,borrow
34,CET-4,boss
34,CET-6,botany botanical
34,CET-4,both
34,CET-4,bother
34,CET-4,bottle
34,CET-4,bottom
35,CET-4,bounce
